title,date,url
The Scientific Benefits of Gratitude,"July 2, 2021",https://newbreak.church/the-scientific-benefits-of-gratitude/
The Small Shift that Can Make a Big Difference for Your Kids,"June 17, 2021",https://newbreak.church/small-shift-big-difference/
The Secret Ingredient of Endurance,"June 10, 2021",https://newbreak.church/the-secret-ingredient-of-endurance/
Learning Leadership Lessons from Rabbi Jesus,"June 4, 2021",https://newbreak.church/leadership-lessons-from-jesus/
What If We Miss How God Wants Us to Prosper?,"May 27, 2021",https://newbreak.church/when-prospering-looks-different/
Be All That You Can Be,"May 22, 2021",https://newbreak.church/be-all-that-you-can-be/
Why Jesus Cares So Much About Our “Eyes”,"May 14, 2021",https://newbreak.church/evil-eye/
3 Things I Wish I Knew as a Newer Mom,"May 8, 2021",https://newbreak.church/newer-mom/
Have You Considered the Flowers?,"May 1, 2021",https://newbreak.church/have-you-considered-the-flowers/
How You Are Free From Sin,"April 24, 2021",https://newbreak.church/how-you-are-free-from-sin/
Matthew 20: A Lesson on How to Read the Parables of Jesus,"April 17, 2021",https://newbreak.church/matthew-20-a-lesson-on-how-to-read-the-parables-of-jesus/
Newbreak Church is providing clean water for the entire Namosi province of Fiji.,"April 16, 2021",https://newbreak.church/newbreak-church-is-providing-clean-water-for-the-entire-namosi-province-of-fiji/
From Spending to Investing: Changing the Way We See Time,"March 27, 2021",https://newbreak.church/from-spending-to-investing-changing-the-way-we-see-time/
Why Do I Need the Holy Spirit to Talk About Jesus?,"March 20, 2021",https://newbreak.church/why-do-i-need-the-holy-spirit-to-talk-about-jesus/
When the Ink of Scripture Spills Over Into Our Lives,"March 13, 2021",https://newbreak.church/god-stories-are-happening-all-the-time/
We Are Called to Be Storytellers!,"March 6, 2021",https://newbreak.church/we-are-storytellers/
Kingdom Builders Funds People and Projects Around the World,"March 4, 2021",https://newbreak.church/kingdom-builders-funds-people-and-projects-around-the-world/
What It Means to “Honor” One Another,"February 27, 2021",https://newbreak.church/what-it-means-to-honor-one-another/
"Leading Your Home Around Personalized, Christ-Centered Values","February 19, 2021",https://newbreak.church/leading-your-home-around-values/
Give Clean Water and Kingdom Builders,"February 19, 2021",https://newbreak.church/give-clean-water-and-kingdom-builders/
Eden Was Just the Beginning of God’s Plan,"February 12, 2021",https://newbreak.church/eden-was-just-the-beginning/
It’s More Than a Water Project… It’s a People Project!,"February 6, 2021",https://newbreak.church/its-more-than-a-water-project-its-a-people-project/
Waltzing Our Way into More Spiritual Fruit,"January 28, 2021",https://newbreak.church/fruit-of-the-spirit/
The Power of Memorizing Scripture,"January 19, 2021",https://newbreak.church/memorizing-scripture/
Why Sabbath is Way More Powerful Than a “Day Off”,"January 14, 2021",https://newbreak.church/sabbath/
We are Committed to Ocean Beach,"January 11, 2021",https://newbreak.church/we-are-committed-to-ocean-beach/
How is the Pace of Your Life?,"January 10, 2021",https://newbreak.church/how-is-the-pace-of-your-life/
Setting Some Spiritual Goals for 2021,"January 3, 2021",https://newbreak.church/setting-some-spiritual-goals-for-2021/
How Memory Cultivates Courage,"December 27, 2020",https://newbreak.church/how-memory-cultivates-courage/
"“Prince of Peace,” A Perplexing Title For Jesus","December 20, 2020",https://newbreak.church/sar-shalom-a-perplexing-title-for-jesus/
Disrupting Our Distractions This Christmas,"December 13, 2020",https://newbreak.church/disrupting-our-distractions-this-christmas/
How to Create a Lasting Legacy,"December 11, 2020",https://newbreak.church/how-to-create-a-lasting-legacy/
Who Was the Real St. Nick?,"December 6, 2020",https://newbreak.church/who-was-the-real-st-nick/
"Christmas, Typology, and Binding the Bible Together","November 29, 2020",https://newbreak.church/jesus-typology-and-binding-the-bible-together/
How Will They Hear If No One is Sent?,"November 22, 2020",https://newbreak.church/how-will-they-hear-if-no-one-is-sent/
Looking Backward for Confidence to Move Forward with Courage,"November 15, 2020",https://newbreak.church/looking-backward-for-confidence-to-move-forward-with-courage/
Regardless of Who You Voted For…,"November 8, 2020",https://newbreak.church/whose-faithfulness-do-you-have-faith-in/
Trusting God with the Blank Spaces,"November 1, 2020",https://newbreak.church/trusting-god-with-the-blank-spaces/
What Causes Disunity Among Christians?,"October 25, 2020",https://newbreak.church/what-causes-disunity-among-christians/
The Difference Between Forgiveness and Trust,"October 18, 2020",https://newbreak.church/the-difference-between-forgiveness-and-trust/
Should I Pray for the Desires of My Heart?,"October 11, 2020",https://newbreak.church/should-i-pray-for-the-desires-of-my-heart/
Why Prayer is So Much More Than Wish Lists,"October 4, 2020",https://newbreak.church/why-prayer-is-so-more-than-wish-lists/
What is the Kingdom of God?,"September 27, 2020",https://newbreak.church/what-is-the-kingdom-of-god/
If You Could Pray Like Elijah…,"September 20, 2020",https://newbreak.church/if-you-could-pray-like-elijah/
The Key Ingredient That De-escalates Conflict,"September 13, 2020",https://newbreak.church/the-key-ingredient-that-deescalates-conflict/
What’s Guarding Your Mouth?,"September 6, 2020",https://newbreak.church/whats-guarding-your-mouth/
How Faith and Works Complete Each Other,"August 31, 2020",https://newbreak.church/how-paul-and-james-complement-each-other/
The Secret to the Early Church’s Explosive Growth (It’s Not What You Think!),"August 23, 2020",https://newbreak.church/early-church-growth/
How to Make Sure Each Sermon You Listen to Makes a Lasting Impact!,"August 16, 2020",https://newbreak.church/how-to-get-the-most-out-of-each-weeks-sermon/
The Danger of Being “Double-Minded”,"August 9, 2020",https://newbreak.church/the-danger-of-being-double-minded/
What Does it Mean to “Fear the LORD”?,"August 2, 2020",https://newbreak.church/what-does-it-mean-to-fear-the-lord/
What Does it Mean to “Meditate on Scripture”?,"July 26, 2020",https://newbreak.church/meditation/
From Spiritual “Disciplines” to Spiritual “Delights”,"July 19, 2020",https://newbreak.church/from-spiritual-disciplines-to-spiritual-delights/
How Stargazing Connects Us with God,"July 12, 2020",https://newbreak.church/how-stargazing-connects-us-with-god/
“Theology”: The Art of Knowing the One Who Knows You,"July 5, 2020",https://newbreak.church/theology-and-the-art-of-knowing-the-one-who-knows-you/
Jesus is Your Shepherd: It’s More Practical Than You Might Think!,"June 29, 2020",https://newbreak.church/jesus-is-your-shepherd-its-more-practical-than-you-think/
Planted and Flourishing – How You Can Relate to Fruit Trees!,"June 21, 2020",https://newbreak.church/planted-and-flourishing/
Unconditional Love Or Unconditional Approval?,"June 14, 2020",https://newbreak.church/unconditional-love-or-unconditional-approval/
Pulling Planks: How to Judge Others According to Jesus,"June 7, 2020",https://newbreak.church/pulling-planks-how-to-judge-others-according-to-jesus/
How Repentance is Like a GPS,"May 31, 2020",https://newbreak.church/how-repentance-is-like-a-gps/
Putting the “Shelter” into “Shelter-in-Place”,"May 24, 2020",https://newbreak.church/putting-the-shelter-into-shelter-in-place/
When Attenders Become Contenders,"May 15, 2020",https://newbreak.church/when-church-attenders-become-contenders/
How Do I Overcome Recurring Negative Thoughts?,"May 8, 2020",https://newbreak.church/how-do-i-overcome-recurring-negative-thoughts/
Can’t Sleep? Try This (It’s Better Than Counting Sheep!),"May 4, 2020",https://newbreak.church/cant-sleep-try-this-its-better-than-counting-sheep/
He Guards You Even While You Sleep,"April 24, 2020",https://newbreak.church/he-guards-you-even-while-you-sleep/
In Times of Need Who Do You Call? (And Don’t Say “Ghost Busters”),"April 17, 2020",https://newbreak.church/in-times-of-need-who-do-you-call-and-dont-say-ghost-busters/
How Easter Speaks to the Problem of Suffering,"April 10, 2020",https://newbreak.church/how-easter-speaks-to-the-problem-of-suffering/
How Can God’s Heart Break?,"April 3, 2020",https://newbreak.church/how-can-gods-heart-break/
Legacy-Defining Moments Occur During Hardship,"March 30, 2020",https://newbreak.church/legacy-defining-moments-occur-during-hardship/
Leading Your Home While Social Distancing,"March 24, 2020",https://newbreak.church/leading-your-home-amidst-the-required-social-distancing/
How Can I Be The Church During A Crisis?,"March 16, 2020",https://newbreak.church/how-can-i-be-the-church-during-a-crisis/
"Suffering is Tough, But We Are Too!","March 7, 2020",https://newbreak.church/suffering/
What Is Lent And What Am I Supposed To Do?,"March 2, 2020",https://newbreak.church/what-is-lent/
Collaborating Together Despite Our Differences,"February 24, 2020",https://newbreak.church/collaborating-together-despite-our-differences/
Jesus’ Advice on Resolving Conflict,"February 11, 2020",https://newbreak.church/jesus-advice-on-resolving-conflict/
Better Communication At Home,"February 10, 2020",https://newbreak.church/better-communication-at-home/
Healthy Relationships – How Much Connection Is Enough?,"January 31, 2020",https://newbreak.church/healthy-relationships-how-much-connection-is-enough/
How Am I A Witness 2000 Years After The Fact?,"January 25, 2020",https://newbreak.church/how-am-i-a-witness-2000-years-after-the-fact/
How Pentecost Lights a Fire in the Disciples,"January 20, 2020",https://newbreak.church/how-pentecost-lights-a-fire-in-the-disciples-witness/
What Makes the Difference in How We Process the Past?,"January 13, 2020",https://newbreak.church/what-makes-the-difference-in-how-we-process-the-past/
New Beginnings In An Ongoing Story,"January 6, 2020",https://newbreak.church/new-beginnings-in-an-ongoing-story/
